Lugar de residencia;Medida;Valor;
María;Población;1238;
María;Confirmados total;2;
María;Defunciones total;;
María;Confirmados < 14 días;0;
Vélez-Blanco;Población;1904;
Vélez-Blanco;Confirmados total;;
Vélez-Blanco;Defunciones total;;
Vélez-Blanco;Confirmados < 14 días;;
Vélez-Rubio;Población;6555;
Vélez-Rubio;Confirmados total;3;
Vélez-Rubio;Defunciones total;1;
Vélez-Rubio;Confirmados < 14 días;0;
Mármol;Población;17630;
Mármol;Confirmados total;24;
Mármol;Defunciones total;5;
Mármol;Confirmados < 14 días;5;
Chercos;Población;278;
Chercos;Confirmados total;;
Chercos;Defunciones total;;
Chercos;Confirmados < 14 días;;
Fines;Población;2079;
Fines;Confirmados total;2;
Fines;Defunciones total;;
Fines;Confirmados < 14 días;1;
Laroya;Población;192;
Laroya;Confirmados total;;
Laroya;Defunciones total;;
Laroya;Confirmados < 14 días;;
Líjar;Población;390;
Líjar;Confirmados total;1;
Líjar;Defunciones total;1;
Líjar;Confirmados < 14 días;0;
Macael;Población;5482;
Macael;Confirmados total;10;
Macael;Defunciones total;3;
Macael;Confirmados < 14 días;1;
Olula del Río;Población;6210;
Olula del Río;Confirmados total;8;
Olula del Río;Defunciones total;;
Olula del Río;Confirmados < 14 días;2;
Purchena;Población;1618;
Purchena;Confirmados total;3;
Purchena;Defunciones total;1;
Purchena;Confirmados < 14 días;1;
Sierro;Población;381;
Sierro;Confirmados total;;
Sierro;Defunciones total;;
Sierro;Confirmados < 14 días;;
Somontín;Población;446;
Somontín;Confirmados total;;
Somontín;Defunciones total;;
Somontín;Confirmados < 14 días;;
Suflí;Población;204;
Suflí;Confirmados total;;
Suflí;Defunciones total;;
Suflí;Confirmados < 14 días;;
Urrácal;Población;350;
Urrácal;Confirmados total;;
Urrácal;Defunciones total;;
Urrácal;Confirmados < 14 días;;
Serón;Población;7613;
Serón;Confirmados total;2;
Serón;Defunciones total;;
Serón;Confirmados < 14 días;1;
Alcóntar;Población;505;
Alcóntar;Confirmados total;;
Alcóntar;Defunciones total;;
Alcóntar;Confirmados < 14 días;;
Armuña de Almanzora;Población;302;
Armuña de Almanzora;Confirmados total;;
Armuña de Almanzora;Defunciones total;;
Armuña de Almanzora;Confirmados < 14 días;;
Bacares;Población;246;
Bacares;Confirmados total;;
Bacares;Defunciones total;;
Bacares;Confirmados < 14 días;;
Bayarque;Población;215;
Bayarque;Confirmados total;;
Bayarque;Defunciones total;;
Bayarque;Confirmados < 14 días;;
Lúcar;Población;763;
Lúcar;Confirmados total;1;
Lúcar;Defunciones total;;
Lúcar;Confirmados < 14 días;0;
Serón;Población;2041;
Serón;Confirmados total;;
Serón;Defunciones total;;
Serón;Confirmados < 14 días;;
Tíjola;Población;3541;
Tíjola;Confirmados total;1;
Tíjola;Defunciones total;;
Tíjola;Confirmados < 14 días;1;
