Fecha diagnóstico;Edad;Medida;Valor;
09/02/2022;De 0 a 4 años; ;172;
09/02/2022;De 5 a 11 años; ;361;
09/02/2022;De 12 a 19 años; ;391;
09/02/2022;De 20 a 29 años; ;608;
09/02/2022;De 30 a 39 años; ;1046;
09/02/2022;De 40 a 49 años; ;1169;
09/02/2022;De 50 a 59 años; ;594;
09/02/2022;De 60 a 69 años; ;346;
09/02/2022;De 65 años; ;29;
09/02/2022;De 66 años; ;25;
09/02/2022;De 67 años; ;18;
09/02/2022;De 68 años; ;22;
09/02/2022;De 69 años; ;28;
09/02/2022;De 70 a 79 años; ;220;
09/02/2022;De 80 y más años; ;264;
08/02/2022;TOTAL; ;5451;
08/02/2022;De 0 a 4 años; ;209;
08/02/2022;De 5 a 11 años; ;422;
08/02/2022;De 12 a 19 años; ;394;
08/02/2022;De 20 a 29 años; ;605;
08/02/2022;De 30 a 39 años; ;1053;
08/02/2022;De 40 a 49 años; ;1189;
08/02/2022;De 50 a 59 años; ;588;
08/02/2022;De 60 a 69 años; ;344;
08/02/2022;De 65 años; ;35;
08/02/2022;De 66 años; ;27;
08/02/2022;De 67 años; ;23;
08/02/2022;De 68 años; ;22;
08/02/2022;De 69 años; ;39;
08/02/2022;De 70 a 79 años; ;270;
08/02/2022;De 80 y más años; ;377;
07/02/2022;TOTAL; ;4465;
07/02/2022;De 0 a 4 años; ;193;
07/02/2022;De 5 a 11 años; ;318;
07/02/2022;De 12 a 19 años; ;343;
07/02/2022;De 20 a 29 años; ;465;
07/02/2022;De 30 a 39 años; ;817;
07/02/2022;De 40 a 49 años; ;953;
07/02/2022;De 50 a 59 años; ;485;
07/02/2022;De 60 a 69 años; ;318;
07/02/2022;De 65 años; ;24;
07/02/2022;De 66 años; ;18;
07/02/2022;De 67 años; ;28;
07/02/2022;De 68 años; ;17;
07/02/2022;De 69 años; ;37;
07/02/2022;De 70 a 79 años; ;267;
07/02/2022;De 80 y más años; ;305;
06/02/2022;TOTAL; ;1370;
06/02/2022;De 0 a 4 años; ;77;
06/02/2022;De 5 a 11 años; ;125;
06/02/2022;De 12 a 19 años; ;125;
06/02/2022;De 20 a 29 años; ;137;
06/02/2022;De 30 a 39 años; ;205;
06/02/2022;De 40 a 49 años; ;220;
06/02/2022;De 50 a 59 años; ;139;
06/02/2022;De 60 a 69 años; ;98;
06/02/2022;De 65 años; ;7;
06/02/2022;De 66 años; ;9;
06/02/2022;De 67 años; ;10;
06/02/2022;De 68 años; ;8;
06/02/2022;De 69 años; ;14;
06/02/2022;De 70 a 79 años; ;80;
06/02/2022;De 80 y más años; ;164;
05/02/2022;TOTAL; ;1990;
05/02/2022;De 0 a 4 años; ;108;
05/02/2022;De 5 a 11 años; ;185;
05/02/2022;De 12 a 19 años; ;184;
05/02/2022;De 20 a 29 años; ;161;
05/02/2022;De 30 a 39 años; ;337;
05/02/2022;De 40 a 49 años; ;347;
05/02/2022;De 50 a 59 años; ;215;
05/02/2022;De 60 a 69 años; ;141;
05/02/2022;De 65 años; ;17;
05/02/2022;De 66 años; ;17;
05/02/2022;De 67 años; ;7;
05/02/2022;De 68 años; ;10;
05/02/2022;De 69 años; ;13;
05/02/2022;De 70 a 79 años; ;141;
05/02/2022;De 80 y más años; ;171;
04/02/2022;TOTAL; ;4296;
04/02/2022;De 0 a 4 años; ;246;
04/02/2022;De 5 a 11 años; ;453;
04/02/2022;De 12 a 19 años; ;354;
04/02/2022;De 20 a 29 años; ;414;
04/02/2022;De 30 a 39 años; ;730;
04/02/2022;De 40 a 49 años; ;761;
04/02/2022;De 50 a 59 años; ;430;
04/02/2022;De 60 a 69 años; ;321;
04/02/2022;De 65 años; ;29;
04/02/2022;De 66 años; ;32;
04/02/2022;De 67 años; ;41;
04/02/2022;De 68 años; ;25;
04/02/2022;De 69 años; ;22;
04/02/2022;De 70 a 79 años; ;280;
04/02/2022;De 80 y más años; ;307;
03/02/2022;TOTAL; ;4034;
03/02/2022;De 0 a 4 años; ;214;
03/02/2022;De 5 a 11 años; ;412;
03/02/2022;De 12 a 19 años; ;376;
03/02/2022;De 20 a 29 años; ;390;
03/02/2022;De 30 a 39 años; ;652;
03/02/2022;De 40 a 49 años; ;727;
03/02/2022;De 50 a 59 años; ;415;
03/02/2022;De 60 a 69 años; ;287;
03/02/2022;De 65 años; ;27;
03/02/2022;De 66 años; ;28;
03/02/2022;De 67 años; ;22;
03/02/2022;De 68 años; ;21;
03/02/2022;De 69 años; ;22;
03/02/2022;De 70 a 79 años; ;256;
03/02/2022;De 80 y más años; ;305;
02/02/2022;TOTAL; ;4645;
02/02/2022;De 0 a 4 años; ;239;
02/02/2022;De 5 a 11 años; ;473;
02/02/2022;De 12 a 19 años; ;431;
02/02/2022;De 20 a 29 años; ;459;
02/02/2022;De 30 a 39 años; ;782;
02/02/2022;De 40 a 49 años; ;858;
02/02/2022;De 50 a 59 años; ;446;
02/02/2022;De 60 a 69 años; ;363;
02/02/2022;De 65 años; ;37;
02/02/2022;De 66 años; ;30;
02/02/2022;De 67 años; ;36;
02/02/2022;De 68 años; ;41;
02/02/2022;De 69 años; ;24;
02/02/2022;De 70 a 79 años; ;277;
