Territorio;Edad;Sexo;Medida;Valor;
Granada Nordeste;De 30 a 44 años;Hombres;Nº casos;8;
Granada Nordeste;De 30 a 44 años;Mujeres;Nº casos;12;
Granada Nordeste;De 45 a 64 años;Ambos sexos;Nº casos;47;
Granada Nordeste;De 45 a 64 años;Hombres;Nº casos;27;
Granada Nordeste;De 45 a 64 años;Mujeres;Nº casos;20;
Granada Nordeste;De 65 a 84 años;Ambos sexos;Nº casos;19;
Granada Nordeste;De 65 a 84 años;Hombres;Nº casos;12;
Granada Nordeste;De 65 a 84 años;Mujeres;Nº casos;7;
Granada Nordeste;De 85 y más años;Ambos sexos;Nº casos;3;
Granada Nordeste;De 85 y más años;Hombres;Nº casos;1;
Granada Nordeste;De 85 y más años;Mujeres;Nº casos;2;
Granada;TOTAL;Ambos sexos;Nº casos;851;
Granada;TOTAL;Hombres;Nº casos;390;
Granada;TOTAL;Mujeres;Nº casos;461;
Granada;De 0 a 14 años;Ambos sexos;Nº casos;1;
Granada;De 0 a 14 años;Hombres;Nº casos;;
Granada;De 0 a 14 años;Mujeres;Nº casos;1;
Granada;De 15 a 29 años;Ambos sexos;Nº casos;52;
Granada;De 15 a 29 años;Hombres;Nº casos;19;
Granada;De 15 a 29 años;Mujeres;Nº casos;33;
Granada;De 30 a 44 años;Ambos sexos;Nº casos;158;
Granada;De 30 a 44 años;Hombres;Nº casos;60;
Granada;De 30 a 44 años;Mujeres;Nº casos;98;
Granada;De 45 a 64 años;Ambos sexos;Nº casos;363;
Granada;De 45 a 64 años;Hombres;Nº casos;166;
Granada;De 45 a 64 años;Mujeres;Nº casos;197;
Granada;De 65 a 84 años;Ambos sexos;Nº casos;204;
Granada;De 65 a 84 años;Hombres;Nº casos;119;
Granada;De 65 a 84 años;Mujeres;Nº casos;85;
Granada;De 85 y más años;Ambos sexos;Nº casos;73;
Granada;De 85 y más años;Hombres;Nº casos;26;
Granada;De 85 y más años;Mujeres;Nº casos;47;
Metropolitano de Granada;TOTAL;Ambos sexos;Nº casos;970;
Metropolitano de Granada;TOTAL;Hombres;Nº casos;416;
Metropolitano de Granada;TOTAL;Mujeres;Nº casos;554;
Metropolitano de Granada;De 0 a 14 años;Ambos sexos;Nº casos;1;
Metropolitano de Granada;De 0 a 14 años;Hombres;Nº casos;;
Metropolitano de Granada;De 0 a 14 años;Mujeres;Nº casos;1;
Metropolitano de Granada;De 15 a 29 años;Ambos sexos;Nº casos;48;
Metropolitano de Granada;De 15 a 29 años;Hombres;Nº casos;11;
Metropolitano de Granada;De 15 a 29 años;Mujeres;Nº casos;37;
Metropolitano de Granada;De 30 a 44 años;Ambos sexos;Nº casos;142;
Metropolitano de Granada;De 30 a 44 años;Hombres;Nº casos;47;
Metropolitano de Granada;De 30 a 44 años;Mujeres;Nº casos;95;
Metropolitano de Granada;De 45 a 64 años;Ambos sexos;Nº casos;398;
