Lugar de residencia;Edad;Sexo;Medida;Valor;
Almería;De 80 y más años;Ambos sexos;Tasa_Mortalidad;1491,3439477160537;
Almería;De 80 y más años;Ambos sexos;Total Confirmados;2286;
Almería;De 80 y más años;Ambos sexos;Tasa_total;7946,881735382049;
Cádiz;TOTAL;Ambos sexos;Confirmados PDIA;138414;
Cádiz;TOTAL;Ambos sexos;Tasa_PDIA;11126,089084915466;
Cádiz;TOTAL;Ambos sexos;Confirmados PDIA 14 días;17043;
Cádiz;TOTAL;Ambos sexos;Tasa PDIA 14 dias;1369,9621156401395;
Cádiz;TOTAL;Ambos sexos;Confirmados PDIA 7 días;9040;
Cádiz;TOTAL;Ambos sexos;Tasa PDIA 7 dias;726,659480454548;
Cádiz;TOTAL;Ambos sexos;Fallecidos;1635;
Cádiz;TOTAL;Ambos sexos;Tasa_Mortalidad;131,42569143176837;
Cádiz;TOTAL;Ambos sexos;Total Confirmados;138805;
Cádiz;TOTAL;Ambos sexos;Tasa_total;11157,518715098842;
Cádiz;De 0 a 4 años;Ambos sexos;Confirmados PDIA;4265;
Cádiz;De 0 a 4 años;Ambos sexos;Tasa_PDIA;7867,842384887839;
Cádiz;De 0 a 4 años;Ambos sexos;Confirmados PDIA 14 días;455;
Cádiz;De 0 a 4 años;Ambos sexos;Tasa PDIA 14 dias;839,3595041322315;
Cádiz;De 0 a 4 años;Ambos sexos;Confirmados PDIA 7 días;236;
Cádiz;De 0 a 4 años;Ambos sexos;Tasa PDIA 7 dias;435,36009445100353;
Cádiz;De 0 a 4 años;Ambos sexos;Fallecidos;0;
Cádiz;De 0 a 4 años;Ambos sexos;Tasa_Mortalidad;0;
Cádiz;De 0 a 4 años;Ambos sexos;Total Confirmados;4270;
Cádiz;De 0 a 4 años;Ambos sexos;Tasa_total;7877,06611570248;
Cádiz;De 5 a 11 años;Ambos sexos;Confirmados PDIA;9070;
Cádiz;De 5 a 11 años;Ambos sexos;Tasa_PDIA;9632,028885467;
Cádiz;De 5 a 11 años;Ambos sexos;Confirmados PDIA 14 días;1222;
Cádiz;De 5 a 11 años;Ambos sexos;Tasa PDIA 14 dias;1297,7220835767005;
Cádiz;De 5 a 11 años;Ambos sexos;Confirmados PDIA 7 días;661;
Cádiz;De 5 a 11 años;Ambos sexos;Tasa PDIA 7 dias;701,9593267137471;
Cádiz;De 5 a 11 años;Ambos sexos;Fallecidos;0;
Cádiz;De 5 a 11 años;Ambos sexos;Tasa_Mortalidad;0;
Cádiz;De 5 a 11 años;Ambos sexos;Total Confirmados;9070;
Cádiz;De 5 a 11 años;Ambos sexos;Tasa_total;9632,028885467;
Cádiz;De 12 a 19 años;Ambos sexos;Confirmados PDIA;15803;
Cádiz;De 12 a 19 años;Ambos sexos;Tasa_PDIA;13729,442325569273;
Cádiz;De 12 a 19 años;Ambos sexos;Confirmados PDIA 14 días;1234;
Cádiz;De 12 a 19 años;Ambos sexos;Tasa PDIA 14 dias;1072,0832645543558;
Cádiz;De 12 a 19 años;Ambos sexos;Confirmados PDIA 7 días;750;
Cádiz;De 12 a 19 años;Ambos sexos;Tasa PDIA 7 dias;651,5903147615614;
Cádiz;De 12 a 19 años;Ambos sexos;Fallecidos;0;
