Lugar de residencia;Edad;Sexo;Medida;Valor;
Granada;De 0 a 14 años;Ambos sexos;Total Confirmados;9327;
Granada;De 0 a 14 años;Ambos sexos;Tasa_total;6870,515785906861;
Granada;De 15 a 29 años;Ambos sexos;Confirmados PDIA;16334;
Granada;De 15 a 29 años;Ambos sexos;Tasa_PDIA;10611,730464385022;
Granada;De 15 a 29 años;Ambos sexos;Confirmados PDIA 14 días;1143;
Granada;De 15 a 29 años;Ambos sexos;Tasa PDIA 14 dias;742,5742574257425;
Granada;De 15 a 29 años;Ambos sexos;Confirmados PDIA 7 días;549;
Granada;De 15 a 29 años;Ambos sexos;Tasa PDIA 7 dias;356,66952522023854;
Granada;De 15 a 29 años;Ambos sexos;Fallecidos;6;
Granada;De 15 a 29 años;Ambos sexos;Tasa_Mortalidad;3,898027598035394;
Granada;De 15 a 29 años;Ambos sexos;Total Confirmados;16391;
Granada;De 15 a 29 años;Ambos sexos;Tasa_total;10648,761726566358;
Granada;De 30 a 44 años;Ambos sexos;Confirmados PDIA;16335;
Granada;De 30 a 44 años;Ambos sexos;Tasa_PDIA;8360,416613353123;
Granada;De 30 a 44 años;Ambos sexos;Confirmados PDIA 14 días;770;
Granada;De 30 a 44 años;Ambos sexos;Tasa PDIA 14 dias;394,09371241395195;
Granada;De 30 a 44 años;Ambos sexos;Confirmados PDIA 7 días;350;
Granada;De 30 a 44 años;Ambos sexos;Tasa PDIA 7 dias;179,13350564270542;
Granada;De 30 a 44 años;Ambos sexos;Fallecidos;17;
Granada;De 30 a 44 años;Ambos sexos;Tasa_Mortalidad;8,700770274074264;
Granada;De 30 a 44 años;Ambos sexos;Total Confirmados;16512;
Granada;De 30 a 44 años;Ambos sexos;Tasa_total;8451,00698620672;
Granada;De 45 a 64 años;Ambos sexos;Confirmados PDIA;23005;
Granada;De 45 a 64 años;Ambos sexos;Tasa_PDIA;8597,621592531412;
Granada;De 45 a 64 años;Ambos sexos;Confirmados PDIA 14 días;1118;
